onset	duration	Condition Name
27.089	1	Deviant 8.0
37.07	1	Deviant 5.0
45.624	1	Catch - Catch
59.882	1	Deviant 3.0
72.714	1	Deviant 8.0
85.545	1	Deviant 6.0
95.526	1	Catch - Catch
104.08	1	Deviant 9.0
115.486	1	Deviant 12.0
129.744	1	Catch - Catch
141.15	1	Deviant 6.0
155.408	1	Deviant 5.0
168.239	1	Deviant 4.0
178.22	1	Catch - Catch
186.774	1	Deviant 9.0
201.032	1	Deviant 4.0
212.438	1	Catch - Catch
222.418	1	Deviant 3.0
230.973	1	Deviant 6.0
243.805	1	Deviant 8.0
253.785	1	Catch - Catch
266.617	1	Deviant 9.0
278.023	1	Deviant 5.0
286.578	1	Deviant 4.0
300.835	1	Catch - Catch
312.241	1	Deviant 6.0
326.499	1	Deviant 12.0
336.479	1	Catch - Catch
345.034	1	Deviant 12.0
357.866	1	Deviant 3.0